grade,program,subject,lessons_per_week,optional,group_count,shared_group_key,share_mode
10,Dabaszinātnes,Mazākumtautību valoda un literatūra,2,True,1,RUS_10,fixed_pair_partition
10,Dabaszinātnes,Sociālās zinības un vēsture,4,False,1,SOC_10,fixed_pair_partition
10,Dabaszinātnes,Sports un veselība (praktiskā),2,False,1,SPORT_10_ALL,forced_parallel_groups
10,Dabaszinātnes,Sports un veselība (teorija),1,False,1,SPORTT_10,fixed_pair_partition
10,Dabaszinātnes,Svešvaloda (angļu) I B2,4,False,1,ENG_10,fixed_pair_partition
10,Dabaszinātnes,"Svešvaloda (otrā, vācu) I B1",3,False,4,GERMAN_10_ALL,forced_parallel_groups
10,Dabaszinātnes,Vācu valoda akadēmiskiem nolūkiem,2,True,1,GERMANAK_10,fixed_pair_partition
10,Dabaszinātnes,Ķīmija I,3,False,1,CHEM_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,Bioloģija I,3,False,1,BIO_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,Datorika,2,False,1,DATORIKA_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,Fizika I,3,False,1,PHYS_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,Latviešu valoda un literatūra I,4,False,1,LAT_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,Matemātika I,5,False,1,MATH_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,Mazākumtautību valoda un literatūra,2,True,1,RUS_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,Sociālās zinātnes un vēsture I,4,False,1,,none
10,Humanitārās zinātnes un kultūra,Sports un veselība (praktiskā),2,False,1,SPORT_10_ALL,forced_parallel_groups
10,Humanitārās zinātnes un kultūra,Sports un veselība (teorija),1,False,1,SPORTT_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,Svešvaloda (angļu) I B2,4,False,1,ENG_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,"Svešvaloda (otrā, vācu) I B1",3,False,4,GERMAN_10_ALL,forced_parallel_groups
10,Humanitārās zinātnes un kultūra,Vācu valoda akadēmiskiem nolūkiem,2,True,1,GERMANAK_10,fixed_pair_partition
10,Humanitārās zinātnes un kultūra,Ķīmija I,3,False,1,CHEM_10,fixed_pair_partition
10,"Matemātika, dabaszinātnes un tehnoloģijas",Bioloģija I,3,False,1,BIO_10,fixed_pair_partition
10,"Matemātika, dabaszinātnes un tehnoloģijas",Fizika I,3,False,1,PHYS_10,fixed_pair_partition
10,"Matemātika, dabaszinātnes un tehnoloģijas",Latviešu valoda un literatūra I,4,False,1,LAT_10,fixed_pair_partition
10,"Matemātika, dabaszinātnes un tehnoloģijas",Matemātika I,5,False,1,MATH_10,fixed_pair_partition
10,"Matemātika, dabaszinātnes un tehnoloģijas",Programmēšana I,2,False,1,,none
10,"Matemātika, dabaszinātnes un tehnoloģijas",Sociālās zinības un vēsture,4,False,1,SOC_10,fixed_pair_partition
10,"Matemātika, dabaszinātnes un tehnoloģijas",Sports un veselība (praktiskā),2,False,1,SPORT_10_ALL,forced_parallel_groups
10,"Matemātika, dabaszinātnes un tehnoloģijas",Sports un veselība (teorija),1,False,1,SPORTT_10,fixed_pair_partition
10,"Matemātika, dabaszinātnes un tehnoloģijas",Svešvaloda (angļu) I B2,4,False,1,ENG_10,fixed_pair_partition
10,"Matemātika, dabaszinātnes un tehnoloģijas","Svešvaloda (otrā, vācu) I B1",3,False,4,GERMAN_10_ALL,forced_parallel_groups
10,"Matemātika, dabaszinātnes un tehnoloģijas",Uzņemējdarbības pamati,2,True,1,UZN_10,fixed_pair_partition
